时间,上证指数,沪深300,能源指数,工业指数,医疗保健指数,公用事业指数,中债-信用债总财富(总值)指数,中债-企业债总财富(总值)指数,中债-国开行债券总财富(总值)指数,南华农产品指数,黄金指数,日常消费指数,材料指数,电信服务指数,恒生综指
2010-01-04,3243.76,3535.229,4920.1377,2833.8413,3502.4775,2508.4985,110.1255,106.8714,132.8149,878.9065,16490.5293,3476.0491,3417.4678,3062.7134,3052.05
2010-01-05,3282.179,3564.038,5000.623,2855.0671,3514.3572,2527.5779,110.1472,106.9429,132.8637,879.8827,16832.1777,3497.1355,3455.449,3167.2776,3121.14
2010-01-06,3254.215,3541.727,4944.7666,2854.7141,3515.572,2524.4851,110.18,106.9795,132.8839,885.6621,16579.2656,3453.459,3467.2671,3103.3601,3134.42
2010-01-07,3192.776,3471.456,4835.4233,2806.9915,3433.8188,2470.1482,110.1755,106.9837,132.8926,867.7167,16300.3643,3369.374,3394.9436,3017.488,3113.61
2010-01-08,3195.997,3480.13,4784.8203,2826.7014,3453.2632,2486.7446,110.1546,106.9435,132.8532,857.1094,16173.8125,3383.7859,3394.4341,3062.696,3116.99
2010-01-11,3212.75,3482.052,4757.9868,2843.1272,3459.6663,2496.2708,110.1502,106.9959,132.909,862.4345,16372.6709,3374.8821,3402.0679,3087.355,3136.59
2010-01-12,3273.966,3534.916,4845.2104,2911.9868,3559.3689,2539.5527,110.1191,106.947,132.9127,855.9034,16450.5957,3463.6768,3458.4417,3248.6719,3130.49
2010-01-13,3172.658,3421.144,4635.0044,2865.4011,3582.4714,2502.835,110.0911,106.9135,132.8016,835.5966,15993.1426,3438.5452,3372.3811,3283.1306,3053.6
2010-01-14,3215.55,3469.051,4677.9331,2932.3162,3679.9255,2539.679,110.1708,107.0804,132.8407,841.0936,16052.6387,3553.2874,3425.959,3322.1804,3061.9
2010-01-15,3224.152,3482.738,4693.3198,2958.7063,3699.0645,2544.2234,110.2294,107.1753,132.8754,836.9433,16107.6348,3563.4683,3438.1746,3310.823,3058.94
2010-01-18,3237.098,3500.684,4661.9189,3017.6492,3760.6919,2568.0176,110.2942,107.2387,132.9271,837.813,16036.4463,3622.6987,3472.9045,3330.7451,3031.01
2010-01-19,3246.874,3507.482,4704.3271,3014.6577,3744.3867,2559.0818,110.3021,107.2468,132.9298,839.6931,16237.9541,3600.0662,3481.0291,3269.7842,3060.89
2010-01-20,3151.85,3394.434,4502.438,2931.0569,3629.2373,2496.8694,110.4464,107.4545,133.0254,832.4329,15725.0967,3488.7622,3346.3213,3123.782,3016.95
2010-01-21,3158.863,3408.574,4436.7427,2940.4382,3645.8811,2509.3882,110.5143,107.6256,133.0286,843.9681,15434.1582,3503.1038,3323.3872,3169.8008,2951.6
2010-01-22,3128.588,3366.197,4355.8882,2869.6606,3579.3716,2463.6006,110.6169,107.8118,133.0543,838.9373,15020.627,3420.9375,3222.676,3137.1274,2928.63
2010-01-25,3094.411,3328.014,4332.9297,2821.0317,3547.905,2452.5627,110.6712,107.8795,133.1339,839.0884,15131.6406,3411.4712,3182.1982,3027.4514,2909.04
2010-01-26,3019.394,3242.797,4157.6436,2723.1821,3449.9375,2378.2988,110.7343,107.9505,133.188,834.4973,14624.4385,3330.9795,3073.7161,2981.1409,2833.54
2010-01-27,2986.607,3198.566,4123.4727,2709.7954,3424.7224,2365.6206,110.7703,108.0026,133.2602,836.1099,14264.8906,3293.1262,3039.5371,3004.5369,2813.42
2010-01-28,2994.143,3206.57,4141.1499,2743.4292,3495.0786,2381.1899,110.8057,108.0392,133.3016,822.8965,14175.46,3352.5991,3056.8638,3031.9644,2856.05
2010-01-29,2989.292,3204.155,4112.8608,2744.2954,3560.137,2379.4409,110.7989,108.0404,133.3421,820.8099,14060.626,3394.696,3065.925,3040.3125,2822.25
2010-02-01,2941.36,3152.707,3987.1782,2699.3611,3587.5691,2336.5774,110.8806,108.188,133.456,814.7672,13591.707,3391.3584,2993.4648,2918.6526,2843.18
2010-02-02,2934.713,3146.189,3980.8892,2682.5295,3538.5444,2325.8181,110.9467,108.2281,133.5361,814.0765,14307.1377,3346.1624,2999.7468,2883.6184,2855.81
2010-02-03,3003.835,3230.715,4134.5063,2738.9937,3515.2163,2374.6914,110.9872,108.2793,133.6116,828.0785,14614.127,3350.6626,3067.9294,2913.7976,2920.11
2010-02-04,2995.308,3218.802,4081.6899,2761.1047,3534.8018,2392.1655,110.9909,108.2587,133.6506,821.606,14307.1621,3383.4329,3060.4602,2882.6187,2869.34
2010-02-05,2939.402,3153.087,3963.7737,2712.3633,3476.791,2370.7046,111.0254,108.3011,133.6726,821.1127,13862.5684,3349.7729,2976.8225,2810.3503,2773.56
2010-02-08,2935.174,3150.988,3960.6714,2714.1707,3470.5188,2369.9729,111.1465,108.4584,133.7686,826.1531,13925.8154,3364.113,2978.4702,2761.6042,2759.06
2010-02-09,2948.842,3169.19,3982.5671,2724.5884,3465.8279,2387.6106,111.2471,108.6063,133.8371,827.4139,14132.041,3351.8765,3004.2363,2768.6128,2785.61
2010-02-10,2982.5,3214.13,4043.7344,2751.9673,3518.5322,2397.752,111.2717,108.6165,133.8445,832.2602,14179.2539,3378.4995,3044.8362,2807.5178,2808.21
2010-02-11,2985.499,3220.398,4049.8472,2740.7825,3532.4507,2390.0027,111.2902,108.6282,133.8471,837.1106,14346.9043,3381.0259,3069.6533,2836.3625,2856.78
2010-02-12,3018.133,3251.278,4117.0801,2770.2283,3554.0874,2406.155,111.311,108.6313,133.859,837.0197,14722.4043,3406.3411,3111.719,2875.6667,2857.4
2010-02-22,3003.398,3233.345,4075.5769,2778.2212,3551.4604,2405.3945,111.3726,108.7386,133.9397,842.2866,14611.8516,3385.2292,3114.4639,2829.177,2865.01
2010-02-23,2982.575,3198.634,4011.6492,2785.9604,3584.4583,2425.269,111.3623,108.7215,133.9297,850.0877,14336.9795,3382.2583,3113.6638,2822.76,2898.62
