时间,上证指数,沪深300,能源指数,工业指数,医疗保健指数,公用事业指数,中债-信用债总财富(总值)指数,中债-企业债总财富(总值)指数,中债-国开行债券总财富(总值)指数,南华农产品指数,黄金指数,日常消费指数,材料指数,电信服务指数,恒生综指
2016-03-29,2919.832,3135.4098,2409.8761,3944.9747,7626.18,3244.638,156.8596,160.5278,172.6855,736.45,12257.7354,4955.1896,3387.5836,2951.2683,2784.18
2016-03-30,3000.645,3216.2753,2492.1115,4095.9471,7908.2407,3337.6302,156.8491,160.5169,172.7597,737.94,12521.4946,5093.5154,3516.6629,3051.8826,2841.49
2016-03-31,3003.915,3218.0879,2490.9656,4121.7013,7908.5228,3345.4634,156.8464,160.5368,172.8271,733.94,12497.5728,5103.3728,3525.3556,3093.0444,2844.78
2016-04-01,3009.53,3221.8948,2527.499,4108.5657,7850.9932,3347.896,156.9038,160.5946,172.8989,737.15,12572.5225,5070.1488,3537.9546,3110.3228,2808.87
2016-04-05,3053.065,3264.4858,2569.5733,4224.6605,8047.2576,3410.1989,156.9764,160.6654,172.9285,740.69,12639.5839,5179.6145,3622.5816,3143.4598,2772.43
2016-04-06,3050.592,3257.5276,2583.9897,4250.1376,8109.1234,3406.413,156.9549,160.6507,172.8811,737.03,12604.8867,5228.5324,3640.287,3130.7179,2777.31
2016-04-07,3008.42,3209.2902,2560.1186,4172.1414,7988.6723,3360.3574,156.9704,160.6531,172.8368,737.66,12516.2121,5134.4181,3588.8291,3049.2907,2784.66
2016-04-08,2984.958,3185.7258,2536.3369,4128.3364,7921.3477,3334.1249,156.9208,160.5864,172.8603,734.34,13031.5279,5082.6546,3565.7744,3024.9464,2794.95
2016-04-11,3033.957,3230.0957,2587.2179,4211.8581,8145.1578,3388.8634,156.8903,160.549,172.8605,741.87,13351.9699,5154.4798,3656.5003,3077.2969,2812.57
2016-04-12,3023.646,3218.4497,2610.2714,4176.4157,8070.4602,3363.9932,156.7372,160.3459,172.7443,747.35,13428.8855,5115.9608,3630.9243,3080.7688,2821.97
2016-04-13,3066.638,3261.3831,2686.0014,4241.7176,8159.7697,3415.2205,156.5673,160.14,172.5174,757.82,13607.42,5160.0427,3715.2979,3122.0278,2904.22
2016-04-14,3082.362,3275.8321,2693.872,4288.0788,8216.5216,3439.5547,156.3245,159.8114,172.2936,765.7,13391.9287,5213.7691,3739.0127,3143.0826,2923.23
2016-04-15,3078.117,3272.2053,2682.9614,4284.9283,8195.1475,3423.2954,156.2811,159.7413,172.4606,759.84,13321.5064,5219.0336,3729.354,3149.9436,2922.11
2016-04-18,3033.66,3228.4531,2643.3592,4211.171,8057.3322,3372.7791,156.3864,159.8224,172.49,773.12,13163.2565,5165.829,3681.9781,3075.0244,2899.03
2016-04-19,3042.823,3238.3029,2637.9675,4227.5373,8073.9278,3391.2699,156.3437,159.7733,172.384,779.78,13360.135,5175.2307,3700.3319,3074.6099,2935.61
